F_date, F_Type, SP_min, SP_max, Query1, Slope
"20130614_133658.nc",'R', 3800,7900, '(lat1 < -43.5)', 0.732
"20130628_130139.nc",'R', 1000,9000, '(lat1 < -43.5 | long1 < 146)', 0.720 
"20130707_073753.nc",'S', 1000,8000, '(lat1 < -42.3 & long1 < 145.6)', 0.75 
"20130707_125944.nc",'R', 1000,9000, '(lat1 < -43.5 & long1 < 147.5)', 0.678
"20130803_084439.nc",'S', 2700,7000, 'lat1 < -43', 0.75
"20130806_151347.nc",'R', 2500,10000, '(long1 < 145.5 & lat1 < -42.1)', 0.75
"20130815_122404.nc",'R', 2500,13000, '(long1 < 145.2 | lat1 < -43.6)', 0.881
"20131011_074911.nc",'S', 2000,10000, '(long1 < 145.4 & lat1 <-42.8)', 0.850
"20131011_132432.nc",'R', 2000,10000, '(lat1 < -43.5)', 0.799
"20140630_070840.nc",'S', 2000,13000, '(lat1 < -43. & long1 < 145.7 )', 0.75
"20140806_150804.nc",'S', 2000,7000, '(lat1 < -43 )', 0.75
"20140903_124321.nc",'R', 2000,10000, '((long1 < 146 & lat1 < -43.3 ) | lat1 < -43.5 )', 0.774
"20140912_124317.nc",'R', 2000,12000, 'lat1 < -43.7', 0.744
"20150804_121910.nc",'S', 2000,8000, '(long1 < 145.4 & lat1 < -42.7)', 0.75
"20150830_130524.nc",'R', 2000,9000, 'lat1 < -43.7 ', 0.535
"20151001_123025.nc",'R', 2000,11500, '(lat1 < -43.6 )', 0.783
"20130907_122442.nc",'R', 2500,13000, '(long1 < 145.6 | lat1 < -43.3)', 0.538
"20130702_101141.nc",'S', 1000,12000, '(lat1 < -42.8 & long1 < 145.35)', 0.694
"20130921_113331.nc",'S', 2000,9000, '(lat1 < -43.05 & long1 < 145.6)', 0.785
"20130723_130219.nc",'R', 2300,6500, '(LWCC+LWCCIP > 0.01) & (LWCC+(LWCCIP-CIPLWC_Drizzle))>0.01', 0.75
